Turnamen Name,Team,Game,Net total,Net Mean,Net Min,Net Max,XPM Total,XPM Max,XPM Min,XPM Mean,GPM Total,GPM Max,GPM Min,GPM Mean,Game Time,Label
The International 2022,OG,LowerBracketRound2.3_Game2,103200,20640,8300,35300,3240,888,431,648,2360,677,276,472,55,LOSE
The International 2022,Gaimin Gladiators,LowerBracketRound2.3_Game2,107100,21420,9600,29800,3490,817,569,698,2443,621,297,488.6,55,WIN
The International 2022,OG,LowerBracketRound2.3_Game3,101400,20280,11800,31500,3188,876,386,637.6,2678,778,347,535.6,42,WIN
The International 2022,Gaimin Gladiators,LowerBracketRound2.3_Game3,69600,13920,4000,20700,2593,729,303,518.6,2086,604,216,417.2,42,LOSE
The International 2022,Liquid,LowerBracketRound2.4_Game1,72500,14500,7200,22400,2799,772,407,559.8,2349,707,279,469.8,34,WIN
The International 2022,Entity,LowerBracketRound2.4_Game1,52700,10540,3700,17900,1700,529,210,340,1719,558,161,343.8,34,LOSE
The International 2022,Liquid,LowerBracketRound2.4_Game2,71900,14380,6100,23000,2640,809,337,528,2008,632,206,401.6,44,LOSE
The International 2022,Entity,LowerBracketRound2.4_Game2,102500,20500,9600,35500,3333,875,377,666.6,2621,837,296,524.2,44,WIN
The International 2022,Liquid,LowerBracketRound2.4_Game3,110900,22180,10800,32500,3463,833,432,692.6,2624,693,334,524.8,52,WIN
The International 2022,Entity,LowerBracketRound2.4_Game3,97500,19500,9000,34900,3195,917,403,639,2380,710,268,476,52,LOSE
The International 2022,Beastcoast,LowerBracketRound1.1_Game1,78600,15720,7300,26000,2786,797,335,557.2,2408,747,259,481.6,37,WIN
The International 2022,Hokori,LowerBracketRound1.1_Game1,61300,12260,4900,21500,2163,611,242,432.6,1845,599,197,369,37,LOSE
The International 2022,Boom Esport,LowerBracketRound1.2_Game1,88600,17720,9000,29400,2756,721,400,551.2,2331,721,400,466.2,41,WIN
The International 2022,Team Spirit,LowerBracketRound1.2_Game1,65600,13120,4800,22300,2128,575,283,425.6,1836,580,184,367.2,41,LOSE
The International 2022,Fnatic,LowerBracketRound1.3_Game1,94700,18940,6000,28200,2814,762,337,562.8,2224,652,255,444.8,51,LOSE
The International 2022,Gaimin Gladiators,LowerBracketRound1.3_Game1,111800,22360,10400,39900,3226,823,454,645.2,2678,882,306,535.6,51,WIN
The International 2022,Royal Never Give Up,LowerBracketRound1.4_Game1,207400,41480,22200,72500,2518,677,332,503.6,3054,984,358,610.8,108,LOSE
The International 2022,Entity,LowerBracketRound1.4_Game1,316100,63220,36800,95500,2976,749,437,595.2,3657,913,488,731.4,108,WIN
The International 2022,Evil Geniuses,GroupStageDay1.1A_Game1,71800,14360,6400,21200,2927,773,367,585.4,2345,653,248,469,33,WIN
The International 2022,Soniqs,GroupStageDay1.1A_Game1,53600,10720,3500,18000,2051,600,237,410.2,1847,567,186,369.4,33,LOSE
The International 2022,Evil Geniuses,GroupStageDay1.1A_Game2,47600,9520,5400,13200,2244,530,310,448.8,2213,530,310,442.6,24,WIN
The International 2022,Soniqs,GroupStageDay1.1A_Game2,33400,6680,2500,10500,1753,530,222,350.6,1594,470,178,318.8,24,LOSE
The International 2022,Thunder Awaken,GroupStageDay1.2A_Game1,37300,7460,2900,13200,1596,553,163,319.2,1516,499,159,303.2,27,LOSE
The International 2022,Secret,GroupStageDay1.2A_Game1,57700,11540,6800,15200,2588,654,372,517.6,2380,599,320,476,27,WIN
The International 2022,Thunder Awaken,GroupStageDay1.2A_Game2,64300,12860,6200,20800,3097,918,313,619.4,2515,767,294,503,29,WIN
The International 2022,Secret,GroupStageDay1.2A_Game2,42600,8520,4200,11300,1676,474,198,335.2,1650,422,203,330,29,LOSE
The International 2022,Evil Geniuses,GroupStageDay1.3A_Game1,60000,12000,6000,18700,2729,725,424,545.8,2247,657,268,449.4,30,WIN
The International 2022,PSG.LGD,GroupStageDay1.3A_Game1,46800,9360,5000,15700,2084,635,292,416.8,1766,546,240,353.2,30,LOSE
The International 2022,Evil Geniuses,GroupStageDay1.3A_Game2,111200,22240,12900,29900,3357,751,589,671.4,2597,669,344,519.4,51,WIN
The International 2022,PSG.LGD,GroupStageDay1.3A_Game2,113100,22620,14200,34800,3026,734,426,605.2,2541,679,359,508.2,51,LOSE
The International 2022,Entity,GroupStageDay1.4A_Game1,56800,11360,4200,18400,2397,669,321,479.4,1909,570,202,381.8,39,LOSE
The International 2022,Team Spirit,GroupStageDay1.4A_Game1,94000,18800,8800,26900,3307,908,477,661.4,2626,717,271,525.2,39,WIN
The International 2022,Entity,GroupStageDay1.4A_Game2,52600,10520,4500,18400,2135,252,585,427,1878,644,199,375.6,34,LOSE
The International 2022,Team Spirit,GroupStageDay1.4A_Game2,73900,14780,4700,23700,3126,882,412,625.2,2460,741,213,492,34,WIN
The International 2022,Evil Geniuses,GroupStageDay1.5A_Game1,124200,24840,11400,38000,3512,832,536,702.4,2703,717,344,540.6,53,WIN
The International 2022,OG,GroupStageDay1.5A_Game1,98500,19700,7700,38700,2923,748,407,584.6,2322,775,251,464.4,53,LOSE
The International 2022,Evil Geniuses,GroupStageDay1.5A_Game2,54400,10880,5800,15200,2760,673,314,552,2420,667,292,484,25,WIN
The International 2022,OG,GroupStageDay1.5A_Game2,33000,6600,3100,9300,1754,485,214,350.8,1557,436,170,311.4,25,LOSE
The International 2022,Royal Never Give Up,GroupStageDay1.1B_Game1,109400,21880,13800,31900,2770,718,438,554,2187,614,287,437.4,58,LOSE
The International 2022,Liquid,GroupStageDay1.1B_Game1,121300,24260,12600,41500,3053,733,393,610.6,2498,710,341,499.6,58,WIN
The International 2022,Royal Never Give Up,GroupStageDay1.1B_Game2,41800,8360,4300,12200,2411,628,349,482.2,2276,621,241,455.2,21,WIN
The International 2022,Liquid,GroupStageDay1.1B_Game2,25800,5160,2700,7500,1560,465,172,312,1357,395,171,271.4,21,LOSE
The International 2022,Fnatic,GroupStageDay1.2B_Game1,60800,12160,5200,17500,2084,547,268,416.8,1982,531,239,396.4,35,LOSE
The International 2022,Team Spirit,GroupStageDay1.2B_Game1,75600,15120,8000,23100,2814,827,383,562.8,2381,691,281,476.2,35,WIN
The International 2022,Fnatic,GroupStageDay1.2B_Game2,112100,22420,12400,43000,3193,724,488,638.6,2683,860,341,536.6,50,WIN
The International 2022,Team Spirit,GroupStageDay1.2B_Game2,100600,20120,9600,32300,3044,773,448,608.8,2379,725,268,475.8,50,LOSE
The International 2022,Soniqs,GroupStageDay1.3B_Game1,108300,21660,11900,36200,3466,837,590,693.2,2498,773,302,499.6,48,WIN
The International 2022,Liquid,GroupStageDay1.3B_Game1,76400,15280,8900,22800,2368,643,314,473.6,1855,525,228,371,48,LOSE
The International 2022,Soniqs,GroupStageDay1.3B_Game2,130300,26060,16300,38300,3363,819,495,672.6,2641,731,367,528.2,63,LOSE
The International 2022,Liquid,GroupStageDay1.3B_Game2,146100,29220,11300,44900,2963,784,463,592.6,2732,908,245,546.4,63,WIN
The International 2022,Fnatic,GroupStageDay1.4B_Game1,55100,11020,5000,16300,2242,646,302,448.4,1947,503,197,389.4,37,LOSE
The International 2022,Thunder Awaken,GroupStageDay1.4B_Game1,85700,17140,8300,29600,3471,979,411,694.2,2592,892,282,518.4,37,WIN
The International 2022,Fnatic,GroupStageDay1.4B_Game2,54500,10900,6400,15700,2360,637,283,472,1982,598,245,396.4,32,LOSE
The International 2022,Thunder Awaken,GroupStageDay1.4B_Game2,69500,13900,6400,21000,3377,958,406,675.4,2500,750,270,500,32,WIN
The International 2022,Soniqs,GroupStageDay1.5B_Game1,57000,11400,4300,18500,2349,647,301,469.8,1848,535,187,369.6,37,LOSE
The International 2022,PSG.LGD,GroupStageDay1.5B_Game1,84300,16860,7500,23700,3117,808,352,623.4,2471,686,254,494.2,37,WIN
The International 2022,Soniqs,GroupStageDay1.5B_Game2,108500,21700,10400,30600,3369,799,468,673.8,2577,622,336,515.4,45,WIN
The International 2022,PSG.LGD,GroupStageDay1.5B_Game2,80700,16140,7700,30500,2450,888,254,490,2152,724,238,430.4,45,LOSE
